Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-29.55294117647059,-29.55294117647059,-29.9816993464052,-29.9816993464052
8.0,-29.23137254901961,-29.55294117647059,-29.9816993464052,-29.9816993464052
17.0,-29.23137254901961,-29.55294117647059,-29.8745098039216,-29.9816993464052
27.0,-29.23137254901961,-29.55294117647059,-29.8745098039216,-29.9816993464052
37.0,-29.55294117647059,-29.55294117647059,-29.8745098039216,-29.9816993464052
47.0,-29.23137254901961,-29.55294117647059,-29.9816993464052,-30.0888888888889
58.0,-29.23137254901961,-30.19607843137255,-29.7673202614379,-30.1960784313725
67.0,-29.23137254901961,-30.517647058823528,-29.6601307189542,-30.4104575163399
77.0,-29.55294117647059,-30.839215686274507,-29.3385620915033,-30.8392156862745
87.0,-29.23137254901961,-31.160784313725493,-28.802614379085,-31.4823529411765
97.0,-29.23137254901961,-31.482352941176472,-28.3738562091503,-31.9111111111111
107.0,-29.23137254901961,-31.80392156862745,-27.837908496732,-32.4470588235294
118.0,-28.588235294117645,-32.12549019607843,-27.7307189542483,-32.6614379084967
128.0,-27.301960784313728,-32.44705882352941,-27.3019607843137,-32.6614379084967
136.0,-26.658823529411762,-32.76862745098039,-26.8732026143791,-33.0901960784314
146.0,-26.015686274509804,-33.090196078431376,-26.7660130718954,-33.4117647058823
157.0,-25.694117647058825,-33.411764705882355,-26.3372549019608,-33.6261437908497
167.0,-25.372549019607845,-33.733333333333334,-25.9084967320261,-33.9477124183007
176.0,-25.050980392156866,-33.733333333333334,-25.6941176470588,-34.162091503268
186.0,-24.72941176470588,-34.05490196078431,-25.4797385620915,-34.3764705882353
196.0,-24.4078431372549,-34.37647058823529,-25.1581699346405,-34.5908496732026
206.0,-24.4078431372549,-34.69803921568627,-24.8366013071895,-35.0196078431373
214.0,-24.08627450980392,-35.01960784313726,-24.5150326797385,-35.4483660130719
224.0,-23.443137254901963,-35.34117647058824,-24.3006535947712,-35.9843137254902
234.0,-23.443137254901963,-35.66274509803922,-23.9790849673203,-36.3058823529412
