Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-0.29411764705882426,-0.0588235294117645,-0.647058823529412,2.80392156862745
10.0,-0.5294117647058822,-0.0588235294117645,-0.647058823529412,2.84313725490196
20.0,-0.5294117647058822,0.0588235294117645,-0.686274509803922,2.72549019607843
30.0,-0.41176470588235325,-0.0588235294117645,-0.647058823529412,2.25490196078431
40.0,-0.29411764705882426,-0.0588235294117645,-0.568627450980393,1.74509803921569
49.0,-0.41176470588235325,-0.0588235294117645,-0.647058823529412,0.294117647058825
59.0,-1.0,-1.117647058823529,-0.686274509803922,-0.254901961
70.0,-3.235294117647058,-2.0588235294117645,-0.568627450980392,-0.80392156862745
79.0,-3.470588235294116,-2.4117647058823533,-1.58823529411765,-0.764705882352941
90.0,-3.470588235294116,-3.3529411764705888,-3.86274509803922,-2.41176470588235
99.0,-3.470588235294116,-3.9411764705882355,-5.66666666666667,-2.80392156862745
108.0,-3.5882352941176485,-4.0588235294117645,-6.13725490196079,-3.58823529411765
119.0,-4.2941176470588225,-4.764705882352942,-6.09803921568628,-4.05882352941177
128.0,-4.529411764705884,-5.235294117647058,-6.13725490196079,-4.56862745098039
138.0,-4.882352941176471,-5.117647058823529,-6.1764705882353,-5.19607843137255
148.0,-4.882352941176471,-6.0588235294117645,-6.52941176470588,-5.58823529411765
157.0,-4.882352941176471,-6.882352941176471,-7.15686274509804,-6.45098039215686
167.0,-4.529411764705884,-7.0,-7.27450980392157,-7.15686274509804
177.0,-6.2941176470588225,-7.9411764705882355,-7.58823529411765,-7.90196078431373
187.0,-6.647058823529413,-8.058823529411764,-7.82352941176471,-8.21568627450981
197.0,-7.352941176470587,-8.647058823529413,-8.25490196078431,-9.19607843137255
206.0,-8.058823529411764,-9.823529411764707,-8.41176470588235,-9.31372549019608
216.0,-8.411764705882351,-9.823529411764707,-8.76470588235294,-9.27450980392157
227.0,-8.411764705882351,-9.705882352941178,-8.6078431372549,-9.23529411764706
236.0,-8.411764705882351,-9.705882352941178,-8.64705882352941,-9.27450980392157
247.0,-8.411764705882351,-8.647058823529413,-8.6078431372549,-6.96078431372549
256.0,-8.529411764705884,-7.470588235294118,-8.64705882352941,-6.37254901960784
267.0,-8.411764705882351,-6.411764705882353,-8.80392156862745,-6.25490196078431
276.0,-8.411764705882351,-6.411764705882353,-9.23529411764706,-6.05882352941176
286.0,-8.529411764705884,-6.294117647058824,-9.50980392156863,-5.90196078431372
297.0,-8.529411764705884,-6.1764705882352935,-9.58823529411765,-4.96078431372549
306.0,-8.411764705882351,-6.0588235294117645,-9.62745098039216,-4.17647058823529
315.0,-9.823529411764707,-6.0588235294117645,-10.4117647058823,-3.94117647058823
325.0,-9.823529411764707,-5.9411764705882355,-10.4901960784314,-3.70588235294118
335.0,-9.705882352941178,-4.882352941176471,-11.1176470588235,-3.11764705882353
344.0,-10.764705882352942,-3.0,-11.2352941176471,-3.27450980392157
354.0,-10.764705882352942,0.0588235294117645,-11.5098039215686,-2.6078431372549
364.0,-11.470588235294116,1.9411764705882355,-11.5882352941177,-1.86274509803921
374.0,-11.588235294117649,-0.6470588235294112,-11.7058823529412,-1.43137254901961
384.0,-11.470588235294116,-1.117647058823529,-12.1372549019608,-1.35294117647059
393.0,-11.588235294117649,-2.4117647058823533,-12.6078431372549,-1.35294117647059
403.0,-11.588235294117649,-2.4117647058823533,-12.6078431372549,-1.11764705882353
414.0,-11.470588235294116,-1.117647058823529,-12.6470588235294,-1.07843137254902
423.0,-11.588235294117649,0.0588235294117645,-12.6862745098039,-0.960784313725489
433.0,-11.588235294117649,0.29411764705882426,-12.7254901960784,-0.76470588235294
443.0,-11.470588235294116,0.41176470588235325,-12.7254901960784,-0.098039215686273
452.0,-11.470588235294116,0.41176470588235325,-12.7254901960784,0.372549019607843
462.0,-11.588235294117649,0.29411764705882426,-12.764705882353,1.15686274509804
472.0,-11.705882352941178,0.29411764705882426,-12.7647058823529,2.2156862745098
482.0,-11.588235294117649,0.29411764705882426,-12.7647058823529,2.37254901960784
493.0,-11.705882352941178,0.29411764705882426,-12.8039215686275,3.11764705882353
503.0,-11.588235294117649,2.882352941176471,-12.8039215686275,3.98039215686275
513.0,-11.588235294117649,4.0588235294117645,-12.5294117647059,5.07843137254902
521.0,-11.705882352941178,4.0588235294117645,-12.2941176470588,6.13725490196079
531.0,-11.705882352941178,4.2941176470588225,-11.8235294117647,7.11764705882354
541.0,-11.705882352941178,5.0,-11.2745098039216,7.31372549019607
551.0,-11.705882352941178,5.117647058823529,-10.8039215686275,7.03921568627451
561.0,-11.470588235294116,5.352941176470587,-10.5294117647059,7.07843137254902
570.0,-11.705882352941178,5.9411764705882355,-10.5294117647059,7.82352941176471
582.0,-11.705882352941178,6.647058823529413,-10.5686274509804,8.2156862745098
589.0,-11.823529411764707,7.235294117647058,-10.5686274509804,8.37254901960784
598.0,-11.705882352941178,7.8235294117647065,-10.5686274509804,8.96078431372549
608.0,-11.705882352941178,8.294117647058822,-10.4901960784314,9.07843137254903
618.0,-11.823529411764707,8.176470588235293,-10.4117647058824,8.92156862745098
628.0,-11.823529411764707,8.647058823529413,-9.66666666666666,9.0
637.0,-11.705882352941178,8.882352941176471,-8.76470588235294,8.96078431372549
648.0,-11.352941176470587,8.882352941176471,-8.45098039215686,8.88235294117647
657.0,-10.647058823529413,9.588235294117649,-7.7843137254902,9.27450980392157
667.0,-8.294117647058822,10.058823529411764,-7.11764705882353,9.43137254901961
677.0,-8.294117647058822,10.647058823529413,-6.68627450980392,9.86274509803921
688.0,-7.352941176470587,10.647058823529413,-6.25490196078432,10.2549019607843
696.0,-7.352941176470587,10.647058823529413,-5.35294117647059,11.0392156862745
708.0,-6.529411764705884,10.647058823529413,-4.6078431372549,11.1176470588235
717.0,-6.647058823529413,10.647058823529413,-4.17647058823529,11.3137254901961
728.0,-5.470588235294116,10.647058823529413,-3.86274509803922,11.5098039215686
737.0,-4.882352941176471,10.529411764705884,-3.66666666666667,11.7058823529412
747.0,-4.2941176470588225,10.647058823529413,-2.80392156862745,11.7450980392157
756.0,-3.5882352941176485,11.823529411764707,-2.41176470588235,12.0588235294118
766.0,-2.764705882352942,12.176470588235293,-2.01960784313725,12.0980392156863
776.0,-2.529411764705884,12.176470588235293,-1.62745098039216,12.5686274509804
786.0,-1.8235294117647065,12.882352941176471,-0.921568627450981,12.8039215686275
796.0,-1.470588235294116,13.117647058823529,-0.764705882352941,12.9607843137255
806.0,-1.5882352941176485,13.235294117647058,-0.764705882352941,12.9607843137255
815.0,-1.5882352941176485,13.235294117647058,-0.529411764705882,12.9607843137255
825.0,-1.5882352941176485,13.235294117647058,-0.215686274509804,12.921568627451
835.0,-0.764705882352942,13.235294117647058,0.254901960784314,12.921568627451
845.0,-0.1764705882352935,13.235294117647058,1.11764705882353,12.9607843137255
855.0,0.29411764705882426,13.117647058823529,1.70588235294118,13.078431372549
865.0,1.117647058823529,13.235294117647058,2.41176470588235,12.7254901960784
