Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-29.55294117647059,-30.19607843137255,-30.1960784313725,-29.5529411764706
9.0,-29.55294117647059,-30.19607843137255,-30.0888888888889,-29.5529411764706
18.0,-29.55294117647059,-30.19607843137255,-29.6601307189542,-29.3385620915032
28.0,-29.23137254901961,-30.19607843137255,-29.1241830065359,-28.6954248366013
38.0,-27.945098039215686,-30.19607843137255,-28.2666666666667,-27.837908496732
48.0,-26.98039215686274,-29.87450980392157,-27.4091503267974,-26.5516339869281
67.0,-25.050980392156866,-26.658823529411762,-26.3372549019608,-25.3725490196079
77.0,-24.08627450980392,-24.72941176470588,-25.1581699346405,-24.0862745098039
87.0,-23.121568627450984,-23.443137254901963,-24.1934640522876,-23.121568627451
97.0,-21.83529411764706,-22.478431372549018,-23.443137254902,-22.1568627450981
108.0,-20.870588235294118,-21.192156862745097,-21.9424836601307,-21.0849673202614
117.0,-19.905882352941177,-19.905882352941177,-21.0849673202615,-20.0130718954248
128.0,-18.941176470588236,-19.262745098039215,-20.0130718954248,-19.0483660130719
137.0,-17.976470588235294,-18.298039215686273,-18.9411764705882,-18.0836601307189
147.0,-17.011764705882353,-17.333333333333332,-17.9764705882353,-17.440522875817
156.0,-16.04705882352941,-16.36862745098039,-16.9045751633987,-16.0470588235294
166.0,-14.760784313725491,-15.08235294117647,-15.9398692810458,-15.0823529411765
176.0,-13.79607843137255,-14.117647058823529,-14.8679738562092,-14.1176470588236
187.0,-13.152941176470588,-13.152941176470588,-13.9032679738562,-13.1529411764706
195.0,-12.188235294117646,-12.188235294117646,-12.9385620915033,-12.1882352941176
206.0,-10.901960784313726,-11.223529411764705,-11.759477124183,-11.2235294117647
215.0,-9.937254901960785,-10.258823529411764,-10.79477124183,-10.1516339869281
226.0,-8.972549019607843,-9.294117647058822,-9.72287581699348,-9.18692810457516
235.0,-8.007843137254902,-8.007843137254902,-8.65098039215686,-8.11503267973856
244.0,-7.043137254901961,-7.043137254901961,-7.57908496732026,-7.25751633986928
255.0,-5.75686274509804,-6.078431372549019,-6.72156862745098,-6.18562091503268
265.0,-4.792156862745099,-5.113725490196078,-5.64967320261438,-5.22091503267974
274.0,-3.8274509803921575,-4.149019607843137,-4.7921568627451,-4.14901960784314
284.0,-2.862745098039216,-3.1843137254901954,-3.7202614379085,-3.29150326797386
295.0,-1.8980392156862749,-2.219607843137254,-2.75555555555556,-2.43398692810458
304.0,-1.5764705882352938,-1.5764705882352938,-2.00522875816993,-1.57647058823529
313.0,-1.2549019607843146,-1.5764705882352938,-2.00522875816993,-1.46928104575163
322.0,-1.2549019607843146,-1.5764705882352938,-2.00522875816993,-1.46928104575163
332.0,-1.2549019607843146,-1.5764705882352938,-1.89803921568627,-1.57647058823529
342.0,-1.2549019607843146,-1.5764705882352938,-2.00522875816993,-2.1124183006536
352.0,-1.5764705882352938,-1.5764705882352938,-2.6483660130719,-2.96993464052288
361.0,-3.1843137254901954,-2.541176470588235,-3.61307189542484,-3.82745098039216
373.0,-4.470588235294118,-3.8274509803921575,-4.57777777777778,-4.68496732026144
383.0,-5.435294117647059,-5.435294117647059,-5.54248366013072,-5.43529411764706
392.0,-6.078431372549019,-5.75686274509804,-6.18562091503268,-6.07843137254902
404.0,-6.721568627450981,-6.399999999999999,-6.72156862745098,-6.61437908496732
412.0,-7.36470588235294,-7.043137254901961,-7.36470588235294,-7.25751633986928
422.0,-8.007843137254902,-7.686274509803923,-7.79346405228758,-7.79346405228758
431.0,-8.650980392156864,-8.329411764705881,-8.32941176470588,-8.22222222222222
441.0,-8.972549019607843,-8.650980392156864,-8.97254901960784,-8.86535947712418
452.0,-9.294117647058822,-9.294117647058822,-9.40130718954248,-9.50849673202615
461.0,-9.937254901960785,-9.937254901960785,-9.9372549019608,-10.0444444444445
471.0,-10.258823529411764,-10.580392156862747,-10.3660130718954,-10.5803921568627
481.0,-10.901960784313726,-11.223529411764705,-11.0091503267974,-11.0091503267974
491.0,-11.545098039215688,-11.545098039215688,-11.5450980392157,-11.5450980392157
501.0,-12.188235294117646,-12.188235294117646,-12.081045751634,-12.1882352941176
510.0,-12.50980392156863,-12.831372549019608,-12.4026143790849,-12.6169934640523
520.0,-13.152941176470588,-13.474509803921567,-13.0457516339869,-13.1529411764706
530.0,-13.79607843137255,-13.79607843137255,-13.5816993464053,-13.7960784313726
540.0,-14.117647058823529,-14.117647058823529,-14.1176470588235,-14.2248366013072
549.0,-14.760784313725491,-15.08235294117647,-14.7607843137255,-14.9751633986928
559.0,-15.40392156862745,-15.40392156862745,-15.4039215686275,-15.4039215686275
569.0,-16.04705882352941,-16.04705882352941,-15.8326797385621,-16.0470588235294
580.0,-16.36862745098039,-16.36862745098039,-16.3686274509804,-16.3686274509804
589.0,-17.011764705882353,-17.011764705882353,-16.9045751633987,-17.118954248366
598.0,-17.654901960784315,-17.654901960784315,-17.3333333333333,-17.5477124183006
608.0,-18.298039215686273,-17.976470588235294,-18.083660130719,-18.1908496732026
619.0,-18.619607843137256,-18.619607843137256,-18.5124183006536,-18.6196078431373
628.0,-19.262745098039215,-19.262745098039215,-19.0483660130719,-19.0483660130719
638.0,-19.905882352941177,-19.905882352941177,-19.6915032679739,-19.6915032679739
648.0,-20.227450980392156,-20.54901960784314,-20.2274509803922,-20.3346405228758
657.0,-20.870588235294118,-21.192156862745097,-20.6562091503268,-20.8705882352941
668.0,-21.192156862745097,-21.51372549019608,-21.0849673202614,-21.4065359477124
677.0,-22.15686274509804,-22.15686274509804,-21.8352941176471,-22.0496732026144
688.0,-22.478431372549018,-22.478431372549018,-22.3712418300653,-22.478431372549
697.0,-23.121568627450984,-23.443137254901963,-22.6928104575163,-23.121568627451
708.0,-23.443137254901963,-23.764705882352942,-23.3359477124183,-23.5503267973856
716.0,-24.08627450980392,-24.4078431372549,-23.9790849673202,-24.0862745098039
726.0,-24.72941176470588,-25.050980392156866,-24.4078431372549,-24.6222222222222
