Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-30.839215686274507,-31.482352941176472,-29.9816993464052,-29.9816993464052
10.0,-30.839215686274507,-31.80392156862745,-29.9816993464052,-29.9816993464052
20.0,-30.839215686274507,-31.80392156862745,-29.8745098039216,-29.9816993464052
30.0,-30.839215686274507,-32.12549019607843,-29.8745098039216,-29.9816993464052
39.0,-30.839215686274507,-31.482352941176472,-29.8745098039216,-29.9816993464052
49.0,-30.839215686274507,-31.482352941176472,-29.9816993464052,-30.0888888888889
59.0,-30.839215686274507,-31.80392156862745,-29.7673202614379,-30.1960784313725
69.0,-30.839215686274507,-31.80392156862745,-29.6601307189542,-30.4104575163399
79.0,-30.839215686274507,-31.80392156862745,-29.3385620915033,-30.8392156862745
90.0,-30.839215686274507,-32.12549019607843,-28.802614379085,-31.4823529411765
101.0,-30.839215686274507,-33.090196078431376,-28.3738562091503,-31.9111111111111
110.0,-29.87450980392157,-34.05490196078431,-27.837908496732,-32.4470588235294
120.0,-28.909803921568624,-34.69803921568627,-27.7307189542483,-32.6614379084967
130.0,-28.588235294117645,-35.34117647058824,-27.3019607843137,-32.6614379084967
139.0,-27.945098039215686,-35.34117647058824,-26.8732026143791,-33.0901960784314
150.0,-27.623529411764707,-35.66274509803922,-26.7660130718954,-33.4117647058823
160.0,-27.301960784313728,-35.66274509803922,-26.3372549019608,-33.6261437908497
169.0,-26.98039215686274,-35.984313725490196,-25.9084967320261,-33.9477124183007
179.0,-26.658823529411762,-35.984313725490196,-25.6941176470588,-34.162091503268
189.0,-26.337254901960783,-35.984313725490196,-25.4797385620915,-34.3764705882353
199.0,-26.337254901960783,-35.984313725490196,-25.1581699346405,-34.5908496732026
208.0,-26.015686274509804,-35.984313725490196,-24.8366013071895,-35.0196078431373
218.0,-25.694117647058825,-35.984313725490196,-24.5150326797385,-35.4483660130719
229.0,-25.372549019607845,-36.305882352941175,-24.3006535947712,-35.9843137254902
237.0,-25.050980392156866,-36.305882352941175,-23.9790849673203,-36.3058823529412
248.0,-24.72941176470588,-36.305882352941175,-23.6575163398693,-36.6274509803921
258.0,-24.4078431372549,-36.627450980392155,-23.443137254902,-36.8418300653595
268.0,-24.08627450980392,-36.949019607843134,-23.121568627451,-37.1633986928105
277.0,-23.764705882352942,-37.91372549019608,-22.9071895424836,-37.2705882352941
287.0,-23.121568627450984,-38.87843137254902,-22.5856209150327,-37.4849673202614
