Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-29.87450980392157,-29.55294117647059,-30.1960784313725,-29.5529411764706
11.0,-29.87450980392157,-29.55294117647059,-30.0888888888889,-29.5529411764706
20.0,-29.87450980392157,-29.55294117647059,-29.6601307189542,-29.3385620915032
30.0,-29.87450980392157,-29.55294117647059,-29.1241830065359,-28.6954248366013
41.0,-29.55294117647059,-28.909803921568624,-28.2666666666667,-27.837908496732
50.0,-27.945098039215686,-27.945098039215686,-27.4091503267974,-26.5516339869281
60.0,-26.98039215686274,-26.337254901960783,-26.3372549019608,-25.3725490196079
70.0,-25.694117647058825,-25.050980392156866,-25.1581699346405,-24.0862745098039
81.0,-24.4078431372549,-24.4078431372549,-24.1934640522876,-23.121568627451
89.0,-23.443137254901963,-22.799999999999997,-23.443137254902,-22.1568627450981
99.0,-22.478431372549018,-21.83529411764706,-21.9424836601307,-21.0849673202614
110.0,-21.51372549019608,-21.51372549019608,-21.0849673202615,-20.0130718954248
119.0,-20.54901960784314,-20.227450980392156,-20.0130718954248,-19.0483660130719
129.0,-19.262745098039215,-19.262745098039215,-18.9411764705882,-18.0836601307189
139.0,-18.298039215686273,-18.298039215686273,-17.9764705882353,-17.440522875817
148.0,-17.654901960784315,-17.333333333333332,-16.9045751633987,-16.0470588235294
158.0,-16.36862745098039,-16.36862745098039,-15.9398692810458,-15.0823529411765
168.0,-15.40392156862745,-15.40392156862745,-14.8679738562092,-14.1176470588236
179.0,-14.439215686274508,-14.439215686274508,-13.9032679738562,-13.1529411764706
190.0,-13.474509803921567,-13.152941176470588,-12.9385620915033,-12.1882352941176
198.0,-12.50980392156863,-12.188235294117646,-11.759477124183,-11.2235294117647
209.0,-11.545098039215688,-11.223529411764705,-10.79477124183,-10.1516339869281
220.0,-10.580392156862747,-10.258823529411764,-9.72287581699348,-9.18692810457516
228.0,-9.294117647058822,-9.294117647058822,-8.65098039215686,-8.11503267973856
238.0,-8.329411764705881,-8.329411764705881,-7.57908496732026,-7.25751633986928
248.0,-7.686274509803923,-7.36470588235294,-6.72156862745098,-6.18562091503268
